id,source,sender,subject,body,timestamp,category,priority_label,action_required,action_text,_label_source,_confidence
19938dfcc81410ce,gmail,,8 interviews in 14 days (how we did it),,,promotion,low,0,Respond or prepare deliverables,human:edited,0.99
19938b47f14c83e3,gmail,,The $5k hiring system (sell to clients),,,promotion,medium,0,,human:accepted_llm,0.95
199372381ba46905,gmail,,Introducing New Mindmaps in Napkin 🚀,,,promotion,medium,0,,human:accepted_llm,0.98
1992e93677995e7f,gmail,,💡The Harvard Interview Secret (95% Get Wrong),,,promotion,medium,0,,human:accepted_llm,0.95
1991d2536749be54,gmail,,Your Napkin AI Special Beta Pricing Expires Tomorrow,,,promotion,medium,0,,human:accepted_llm,0.98
1990186ae6ea63b4,gmail,,We’re Updating our Consumer Terms and Privacy Policy,,,notification,medium,0,,human:accepted_llm,0.95
198fdaca27b2067a,gmail,,Watch your ROI grow with pdfFiller,,,promotion,medium,0,,human:accepted_llm,0.85
198f240621f6132b,gmail,,Check out nano-banana: our newest image generation model,,,promotion,low,0,Respond or prepare deliverables,human:edited,0.99
198ecb3b8403021a,gmail,,Stop Copy/Paste. Just Forward Emails to Manus.,,,notification,medium,0,Review security notification / change password if needed,human:edited,0.99
198ccbc237b4eaa6,gmail,,Sold this photography system for $3k,,,promotion,medium,0,check the content if u want to Book your slot,human:edited,0.99
198c7bb9f86e9ef6,gmail,,The Upwork bidding mistake that's costing you clients,,,promotion,medium,0,,human:accepted_llm,0.9
198b05bd5699dc11,gmail,,Access legal forms in your pdfFiller account,,,promotion,medium,0,,human:accepted_llm,0.95
198ac1cb2c13138b,gmail,,One-Click Email Follow Ups Are Here,,,promotion,medium,0,,human:accepted_llm,0.95
198a981ef460430b,gmail,,The $300k focus system (how I 10x'd my productivity),,,promotion,low,0,Respond or prepare deliverables,human:edited,0.99
1989ee6a6b4ab2f3,gmail,,Skip Environment Setup Headaches - Start Coding in Minutes,,,promotion,medium,0,,human:accepted_llm,0.95
19899a1ac7056f41,gmail,,"Lovable Update - agent mode, analytics, business plan & more",,,notification,medium,0,Respond or prepare deliverables,human:edited,0.99
1988a7b1349b2358,gmail,,"Siddhartha, Veo 3 with native audio is now in the Gemini API",,,promotion,medium,0,,human:accepted_llm,0.95
198608d0d42a2e0b,gmail,,This AI agent replaces graphic designers,,,promotion,low,0,Respond or prepare deliverables,human:edited,0.99
198564062e1a8db1,gmail,,The 7 step conversion killer,,,promotion,medium,0,Review booking / invoice / payment details,human:edited,0.99
1983d5c64eec28f6,gmail,,The $2k invoicing system (never chase payments),,,promotion,low,0,Review booking / invoice / payment details,human:edited,0.99
19835d16f5bcd6e8,gmail,,"Siddhartha, don’t miss these top openings",,,promotion,medium,0,,human:accepted_llm,0.95
1980e30bdf51c4b9,gmail,,The automation myth that's keeping you stuck,,,personal_development,medium,0,,human:accepted_llm,0.95
197f4711d86cb025,gmail,,Sell this to marketing agencies ($6k system),,,promotion,medium,0,,human:accepted_llm,0.85
197c935bd35076b5,gmail,,Integrate Google apps with pdfFiller,,,promotion,medium,0,,human:accepted_llm,0.95
197c6190ea2118bc,gmail,,The pricing myth keeping you broke,,,personal_development,medium,0,,human:accepted_llm,0.85
sms_54,gmail,,(none),,,security,high,1,Use OTP; do not share.,human:accepted_rule,0.99
sms_58,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_87,gmail,,(none),,,personal,low,0,,human:accepted_llm,0.9
sms_95,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_124,gmail,,(none),,,security,high,1,Use OTP; do not share.,human:accepted_rule,0.99
sms_134,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.99
sms_157,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_229,gmail,,(none),,,transaction,high,1,Verify transaction details and report if unauthorised.,human:accepted_rule,0.99
sms_235,gmail,,(none),,,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,human:accepted_rule,0.99
sms_278,gmail,,(none),,,transaction/promotion,high,1,Check Jio plan details and purchase if interested; click link www.jio.com/r/AeXnwS7gS,human:accepted_llm,0.95
sms_297,gmail,,(none),,,promotion,medium,0,Verify transaction; SMS BLOCKUPI if unauthorised.,human:edited,0.99
sms_298,gmail,,(none),,,promotion,low,0,Verify transaction details and report if unauthorised.,human:edited,0.99
sms_310,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_317,gmail,,(none),,,notification,low,0,,human:accepted_llm,0.99
sms_321,gmail,,(none),,,notification,low,0,,human:accepted_llm,0.99
sms_326,gmail,,(none),,,pomotion,low,0,Verify transaction details and report if unauthorised.,human:edited,0.99
sms_54,gmail,,(none),,,security,high,1,Use OTP; do not share.,human:accepted_rule,0.99
sms_58,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_87,gmail,,(none),,,promotion,mediun,0,Verify transaction; SMS BLOCKUPI if unauthorised.,human:edited,0.99
sms_95,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_124,gmail,,(none),,,notification,high,1,Report unauthorised registration to your bank.,human:accepted_llm,0.99
sms_134,gmail,,(none),,,notification,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,human:edited,0.99
sms_157,gmail,,(none),,,notification,low,0,Verify transaction; SMS BLOCKUPI if unauthorised.,human:edited,0.99
sms_229,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_235,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_276,gmail,,(none),,,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,human:accepted_rule,0.99
sms_278,gmail,,(none),,,notification,low,0,Verify transaction details and report if unauthorised.,human:edited,0.99
sms_297,gmail,,(none),,,notification,low,0,Verify transaction; SMS BLOCKUPI if unauthorised.,human:edited,0.99
sms_298,gmail,,(none),,,transaction,high,1,Verify transaction details and report if unauthorised.,human:accepted_rule,0.99
sms_310,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_317,gmail,,(none),,,notification,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,human:edited,0.99
sms_321,gmail,,(none),,,notification,low,0,,human:accepted_llm,0.99
sms_326,gmail,,(none),,,promotion,low,0,Verify transaction details and report if unauthorised.,human:edited,0.99
sms_310,gmail,,(none),,,promotion,medium,0,,human:accepted_llm,0.95
sms_317,gmail,,(none),,,notification,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,human:edited,0.99
sms_321,gmail,,(none),,,notification,low,0,,human:accepted_llm,0.99
sms_326,gmail,,(none),,,promotion,low,0,Verify transaction details and report if unauthorised.,human:edited,0.99
sms_348,gmail,,(none),,,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,human:accepted_rule,0.99
sms_353,gmail,,(none),,,notification,low,0,,human:accepted_llm,0.99
sms_377,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.99
sms_385,gmail,,(none),Ticket,,personal,low,0,,human:accepted_llm,0.5
sms_391,gmail,,(none),,,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,human:accepted_rule,0.99
sms_423,gmail,,(none),,,transaction,high,1,Verify transaction details and report if unauthorised.,human:accepted_rule,0.99
sms_424,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.99
